user|time|tweet|latitude|longitude
jsskribeiro|Mon Mar 16 12:10:30 +0000 2015|E mais facil largar a faculdade e ser atendente do McDonalds para toda a eternidade do que encarar a secretaria da FMU||
onlyvitu|Mon Mar 16 11:56:48 +0000 2015|I'm at FMU - Campus Vila Mariana I in Sao Paulo, SP https://t.co/fI0QXDJtHp|-23.58857266|-46.6340297
ArqtoNatan|Mon Mar 16 11:55:35 +0000 2015|Pior que fila do SUS (@ FMU - Campus Liberdade in Sao Paulo, SP) https://t.co/v0A0GKRqnY|-23.56080081|-46.63722038
leeh_melo|Mon Mar 16 11:54:01 +0000 2015|@iarahr qual e? fmu?||
PauliinhaVeloso|Mon Mar 16 11:42:51 +0000 2015|#TaTudoErrado  se sentindo preocupada em FMU Vila Mariana - Arquitetura http://t.co/821P60XjMu||
itscandalous_|Mon Mar 16 11:37:20 +0000 2015|Amo saber que tem varias FMU's por ai e minha namorada estuda exatamente na mesma que minha ex da aula/estuda, amo||
Brunynhadbarros|Mon Mar 16 11:24:26 +0000 2015|I'm at FMU - Predio da Saude in Sao Paulo https://t.co/YyEYlKovS8|-23.56280121|-46.63622548
laicalaion|Mon Mar 16 11:21:11 +0000 2015|I'm at FMU - Campus Ana Rosa in SAO PAULO https://t.co/BSqy77LwZW|-23.57974812|-46.639246
Hildegarde1874|Mon Mar 16 10:24:49 +0000 2015|"RT @AndiaraFreitas: Ouca minha participacao no programa ""Musica Potiguar Brasileira"" da @fmuniversitaria! Foi ao ar em janeiro de 2015! htt..."||
gezodojimaf|Mon Mar 16 08:09:25 +0000 2015|"RT @AndiaraFreitas: Ouca minha participacao no programa ""Musica Potiguar Brasileira"" da @fmuniversitaria! Foi ao ar em janeiro de 2015! htt..."||
elarafah_|Mon Mar 16 04:26:35 +0000 2015|Falando nisso tenho que ir la na FMU, se nao vou ficar devendo horrores e nada||
AndreLuis_z|Mon Mar 16 03:37:51 +0000 2015|Os cara da fmu se reunem uma vez por semana pra definir como vao fuder os alunos agora|-23.6782772|-46.6281862
danknoxx|Mon Mar 16 03:34:24 +0000 2015|Pelado pelado nu com a mao no bolso, uuuu uuuu uu uuu... #job #fmu #brigas #danknoxx #happy @ FMU -... https://t.co/3ubFN1AGz2|-23.55183366|-46.63733265
lehywynahyn|Mon Mar 16 02:39:07 +0000 2015|"RT @AndiaraFreitas: Ouca minha participacao no programa ""Musica Potiguar Brasileira"" da @fmuniversitaria! Foi ao ar em janeiro de 2015! htt..."||
AndiaraFreitas|Mon Mar 16 01:54:13 +0000 2015|"Ouca minha participacao no programa ""Musica Potiguar Brasileira"" da @fmuniversitaria! Foi ao ar em janeiro de 2015! https://t.co/QJmM7c1pKm"||
_GuiiFassina|Mon Mar 16 01:41:51 +0000 2015|QUUUUUUUUUE JOGO FMU 4X2 Medicina PUC #VamoFMU||
maahvalli|Mon Mar 16 01:40:46 +0000 2015|Vish Sabado tem festa open da FMU.. #VaiDaRuim haha ||
Karen_Festino|Mon Mar 16 01:03:08 +0000 2015|FMU deveria ganhar um premio so pela Tagua querida que olha to batendo palma cada ano que passa mais linda||
isabelavondy|Sun Mar 15 23:15:19 +0000 2015|E verdade que quando a gente gosta, a gente nao tem trabalho nenhum  #moda #FMU #auladedesenho https://t.co/E8PRCCsMRa||
EnkiPimenta|Sun Mar 15 22:49:15 +0000 2015|Saiu o gabarito oficial #oab #Fmu #Fgv||
marinaprf|Sun Mar 15 22:40:24 +0000 2015|Uma pergunta: por que esse povo que faz Educacao Fisica na FMU usa essas camisetas escrito Educacao Fisica FMU?||
Igor_Almeidaa|Sun Mar 15 22:21:57 +0000 2015|RT @EnkiPimenta: Pelo que estao comentando - sobre a prova da #oab - e uma das mais dificeis, senao a mais dificil da historia do exame. #o...||
EnkiPimenta|Sun Mar 15 22:16:23 +0000 2015|Pelo que estao comentando - sobre a prova da #oab - e uma das mais dificeis, senao a mais dificil da historia do exame. #oab #Fmu||
ni_cerqueira|Sun Mar 15 21:49:28 +0000 2015|Ainda sobre ontem...eitttta Churras Bom ..#ChurrasTurine #amigos #Fmu #momentoselfie @ Casa da Aline... https://t.co/Aib3tMTFEr||
thaiscabral_|Sun Mar 15 21:32:28 +0000 2015|Futuros publicitarios  @ FMU https://t.co/MN9rgWxtVA||
15janeiro97|Sun Mar 15 21:29:04 +0000 2015|Em baixo de chuva  #saidafotografica #facul #FMU  https://t.co/wHOlS8gKNV||
RenanKings|Sun Mar 15 20:09:35 +0000 2015|Primeiro jogo do futsal e FMU vs UEL, vem trofeu !||
Milliesampaio|Sun Mar 15 20:07:02 +0000 2015|Pode isso producao ?! #vistafilmes #work #fmu https://t.co/vFZEAZmLYW||
Rafaelime|Sun Mar 15 18:11:51 +0000 2015|vesh, vai dar treta pra ir pra fmu depois hein hehehehe||
itsmlls|Sun Mar 15 18:03:14 +0000 2015|O povo da usjt zoando a fmu por conta do plagio do confessa ||
_8bitboy|Sun Mar 15 13:50:31 +0000 2015|@pastelgothorita eu to pensnado em retomar meu curso no segundo semestre na fmu mesmo, acho que eu tenho que lutar ao inves de ficar aqui||
fabiohosting|Sun Mar 15 13:10:24 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
raulspfc|Sun Mar 15 09:36:34 +0000 2015|I'm at FMU - Educacao Fisica in Sao Paulo, SP https://t.co/E31UpfGuSn|-23.56187122|-46.63460455
moraisfrancisco|Sun Mar 15 09:22:10 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
Victorlesky|Sun Mar 15 08:04:27 +0000 2015|@fefmourao_ vc ta na fmu tbm? dshfuisdhiufhusdfds||
56Flavius|Sun Mar 15 05:31:57 +0000 2015|Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar.||
Ramosmii|Sun Mar 15 04:12:01 +0000 2015|@UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/BnXJBLURSl  #vergonhanacional||
Keeila_Ss|Sun Mar 15 04:08:08 +0000 2015|@Lois_Monteiroo , na Unip. Queria fazer na FMU, mas nao tinha mais vaga para o horario da Noite||
Phennix_cavalc|Sun Mar 15 04:08:02 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
jcerede|Sun Mar 15 04:02:55 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
ph_benatto|Sun Mar 15 03:53:28 +0000 2015|@DiarioSP sou um dos advogados de LLP, do caso da FMU, o qual vcs publicaram hj e informo que as declaracoes da R sao falsas e infundadas!||
ph_benatto|Sun Mar 15 03:50:54 +0000 2015|@folha sou um dos advogados de LLP, do caso da FMU, o qual vcs publicaram hj e informo que as declaracoes da R sao falsas e infundadas!||
ViatorSagarana|Sun Mar 15 03:28:51 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
_RickCordeiro|Sun Mar 15 03:21:40 +0000 2015|eu to amando esses bangs de engenharia que os alunos da fmu fazem ||
demattosmonica|Sun Mar 15 03:06:33 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
FABIOVSC|Sun Mar 15 03:04:40 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
Mas2009Mas|Sun Mar 15 03:03:05 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
