"";"V1";"V2"
"818";0,245517962475364;0
"823";0,00743334132002652;0
"824";0,0074244469572514;0
"825";0,00742410683037124;0
"827";0,0074248175291045;0
"828";0,00742378935895831;0
"834";0,00742662609698695;0
"841";0,00742524178471347;0
"845";-0,0613373958580128;0
"847";0,00742408978396505;0
"850";0,339988590940114;1
"855";0,00742738565694039;0
"856";0,00742627415523471;0
"858";0,32908222604341;0
"860";0,00743421215860689;0
"861";0,00742846665100975;0
"865";0,00742932480075913;0
"868";0,00742481441506943;0
"875";0,0591718974059723;0
"878";0,280611490331747;1
"881";0,007429695199365;0
"885";0,00744356459712762;0
"887";0,00743192792845114;0
"889";0,00742771603422025;0
"890";0,00743331051022232;0
"891";0,0131362843507056;0
"893";0,00745096727107228;0
"894";0,00742425392088729;0
"896";0,00742132068185912;0
"898";0,306271420047557;1
"899";0,00742329413682789;0
"900";0,0074262112232744;0
"901";0,00743250455982385;0
"902";0,0414007015975135;0
"906";0,00742768730906328;0
"909";0,0120116580537782;0
"917";0,0120776620327873;0
"919";0,00742528704437499;0
"921";0,012011642490393;0
"923";0,00746101262493672;0
"924";-0,0118500623416142;0
"928";0,00742442774447215;0
"939";0,00742312995182913;0
"946";0,19806160462969;0
"949";0,232521162707469;0
"951";0,00725110679145333;0
"952";0,00747210163535441;0
"954";0,00742473264423747;0
"960";0,00742323765014057;0
"963";0,00742461334184601;0
"966";0,00744110264801547;0
"969";0,104613416306598;0
"973";0,00742419127149206;0
"980";0,00743544591456695;0
"984";0,0811207571541372;0
"994";0,00742416683130175;0
"1000";0,0170633971781758;0
"1002";0,00742554137107647;0
"1003";0,313078101324104;0
"1018";0,00742402750542941;0
"1020";0,0074228628989108;0
"1025";0,00742437686184515;0
"1026";0,115124420559136;0
"1028";0,00742618089612533;0
"1029";0,00742686159821497;0
"1034";0,00829888844106412;0
"1042";0,00744867078113209;0
"1045";0,00742928808940298;0
"1048";0,00743285986937962;0
"1050";-0,0232793524550023;0
"1051";0,00742554323015319;0
"1060";0,00742689905522732;0
"1062";0,00742363107214548;0
"1066";0,279941136363057;0
"1073";0,00742194216537088;0
"1077";0,0074229676410497;0
"1082";0,00742845456118053;0
"1083";0,00742622032200467;0
"1084";0,00742572698088832;0
"1085";0,00742453887889132;0
"1086";0,00743889304252147;0
"1088";0,398307361569885;1
"1089";0,00742325042179397;0
"1090";0,0074263440452899;0
"1092";0,00742834129331434;0
"1096";0,00742336688316607;0
"1098";0,125201134070296;0
"1099";0,00742349298137233;0
"1100";0,0145889302714673;0
"1103";0,00742239563659296;0
"1106";0,0414007994584915;0
"1110";0,00742249498543439;0
"1113";0,00742664299064887;0
"1118";0,00742456850715571;0
"1122";0,275133233977604;0
"1127";0,0399937045463008;0
"1128";0,00742240557313355;0
"1130";0,00742540659136082;0
"1137";0,00743145423097846;0
"1139";0,312343288247254;0
"1143";0,00742504833537343;0
"1145";0,00742329281317787;0
"1147";0,0077997603638166;0
"1151";0,00555873927944983;0
"1152";0,00742331258579947;0
"1155";-0,0207862851570738;0
"1159";0,177073552416611;0
"1160";0,0124434767522082;0
"1161";0,0179860624184037;0
"1162";0,00742594829995295;0
"1166";0,00742628509120123;0
"1169";0,00742293585760766;0
"1170";-0,00349322606039305;0
"1171";0,0074236045763325;0
"1172";0,00740764295407947;0
"1173";0,318247786897778;1
"1176";0,00742386420729672;0
"1181";0,00742191601740127;0
"1185";0,00745972399306442;0
"1189";0,00719356618465557;0
"1190";0,286356730287572;0
"1193";0,00739905783600932;0
"1194";0,364524541888985;1
"1195";0,0954453718931726;0
"1196";0,00742786313320652;0
"1198";0,00742607905946117;0
"1199";0,244941398630585;0
"1200";0,0074268967384641;0
"1201";0,0262848907946926;1
"1202";0,00742446098874554;0
"1203";0,00742307743444613;0
"1206";0,0120396488581456;0
"1212";0,00742283188463864;0
"1213";0,00745978751011585;0
"1216";0,00742963124891648;0
"1219";0,00742353278534684;0
"1223";0,00742608969282703;0
"1224";0,00623349326257198;0
"1228";0,0275744808395997;0
"1229";0,00742250768708312;0
"1231";0,0264998185192861;0
"1232";-0,0201160584998149;0
"1234";0,00742787009360206;0
"1239";0,012013335052405;0
"1246";0,00738935637991234;0
"1252";0,007423607751591;0
"1253";0,00742488238623699;0
"1256";0,00742964117412599;0
"1261";0,00742194057038775;0
"1264";0,00742670314200554;0
"1267";0,00742482682112837;0
"1268";0,00742575218644691;0
"1272";0,0120125852765416;0
"1276";0,0120213684693952;0
"1280";0,00820562036111244;0
"1282";0,00742770590340817;0
"1287";0,0209568736468612;0
"1288";0,00741100138245272;0
"1291";0,00740245282783399;0
"1293";0,0348820438193351;0
"1296";0,0414214720879177;0
"1300";0,0119065475307919;0
"1310";0,0266717173421464;0
"1313";0,0121109931347882;0
"1314";0,00742261168772056;0
"1315";0,141625542589191;0
"1317";0,272203078047643;0
"1325";0,00843305698478469;0
"1327";0,00734577745650386;0
"1328";0,00742589814518994;0
"1329";-0,016540134688453;0
"1336";-0,0608962767166768;0
"1343";0,00742715558449823;0
"1346";0,00743066559627263;0
"1348";0,00742309316467547;0
"1351";0,00742321428488245;0
"1352";-0,0034971654396614;0
"1357";0,00697855248893271;0
"1358";-0,0606521160848459;0
"1360";0,00742580647209022;0
"1367";-0,0588342092543218;0
"1370";-0,0612935910123015;0
"1374";0,00742705768599859;0
